"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1362","Mobile_ShouldEmulateIPhone","PlaywrightTests","2026-04-20","passed","2026-04-20","AdvancedPlaywrightTests","PlaywrightTests.Tests","AdvancedPlaywrightTests","Mobile_ShouldEmulateIPhone"
"","60435","Playwright_AllLocatorStrategies","PlaywrightTests","2026-04-20","broken","2026-04-20","ComparisonTests","PlaywrightTests.Tests","ComparisonTests","Playwright_AllLocatorStrategies"
"","152","Network_ShouldInterceptAndMockApiCall","PlaywrightTests","2026-04-20","passed","2026-04-20","AdvancedPlaywrightTests","PlaywrightTests.Tests","AdvancedPlaywrightTests","Network_ShouldInterceptAndMockApiCall"
"","1147","Screenshot_ShouldCaptureFullPage","PlaywrightTests","2026-04-20","passed","2026-04-20","AdvancedPlaywrightTests","PlaywrightTests.Tests","AdvancedPlaywrightTests","Screenshot_ShouldCaptureFullPage"
"","60433","Playwright_LoginTest","PlaywrightTests","2026-04-20","broken","2026-04-20","ComparisonTests","PlaywrightTests.Tests","ComparisonTests","Playwright_LoginTest"
"","1105","Tabs_ShouldHandleMultipleTabs","PlaywrightTests","2026-04-20","passed","2026-04-20","AdvancedPlaywrightTests","PlaywrightTests.Tests","AdvancedPlaywrightTests","Tabs_ShouldHandleMultipleTabs"
"","4237","Download_ShouldDownloadFile","PlaywrightTests","2026-04-20","passed","2026-04-20","AdvancedPlaywrightTests","PlaywrightTests.Tests","AdvancedPlaywrightTests","Download_ShouldDownloadFile"
"","1046","Mouse_ShouldHoverAndClick","PlaywrightTests","2026-04-20","passed","2026-04-20","AdvancedPlaywrightTests","PlaywrightTests.Tests","AdvancedPlaywrightTests","Mouse_ShouldHoverAndClick"
"","16212","Keyboard_ShouldUseShortcuts","PlaywrightTests","2026-04-20","broken","2026-04-20","AdvancedPlaywrightTests","PlaywrightTests.Tests","AdvancedPlaywrightTests","Keyboard_ShouldUseShortcuts"
"","62446","Tracing_ShouldRecordTrace","PlaywrightTests","2026-04-20","broken","2026-04-20","AdvancedPlaywrightTests","PlaywrightTests.Tests","AdvancedPlaywrightTests","Tracing_ShouldRecordTrace"
"","1135","Api_ShouldMakeDirectApiCall","PlaywrightTests","2026-04-20","passed","2026-04-20","AdvancedPlaywrightTests","PlaywrightTests.Tests","AdvancedPlaywrightTests","Api_ShouldMakeDirectApiCall"
